priority_ratio,package_ratio,real_package_ratio,total_orders,complete_orders,complete_orders_percentage,orders_with_priority_1,complete_orders_with_priority_1,complete_orders_with_priority_1_percentage,orders_with_priority_2,complete_orders_with_priority_2,complete_orders_with_priority_2_percentage,Total_time_between_order_and_delivery_prio1,Total_time_between_order_and_delivery_prio2,total_wait_time_sec,total_delay_time_sec,total_req_time_sec,total_time_sec,avg_dist_traveled_km,avg_empty_dist_traveled_km,avg_rebl_dist_traveled_km,avg_time_traveled_s,avg_empty_time_traveled_s,avg_rebl_time_traveled_s
1.3,0.20,0.2500855285665412,3654,3395,92.91187739463602,731,680,93.02325581395348,2923,2715,92.8840232637701,26.566200490196078,28.805754634745274,1356225.0799999984,2343732.5400000033,2076400.7900000042,5776358.410000006,390.9623661859275,43.31766911576417,35.77842317649853,77725.71900000006,9021.092666666666,5013.525666666666
1.3,0.25,0.33357664233576645,3654,3395,92.91187739463602,914,844,92.34135667396062,2740,2551,93.10218978102189,27.01641469194315,28.70459362341572,1336387.6100000036,2349124.6200000034,2076124.1100000036,5761636.340000011,391.39888462222297,40.239799687769505,36.03459740105423,77642.6733333334,8487.525666666668,4811.266
1.3,0.30,0.42790152403282533,3654,3390,92.77504105090313,1095,1009,92.14611872146119,2559,2381,93.0441578741696,26.215910802775056,28.204068808623877,1307128.0400000014,2258954.480000003,2050261.990000004,5616344.510000008,391.55970456036306,42.91173234522482,37.316978496655366,77734.2166666667,8949.281333333334,5216.310333333334
1.3,0.35,0.5378787878787878,3654,3413,93.40448823207444,1278,1180,92.33176838810641,2376,2233,93.98148148148148,26.337434039548025,28.89282004776829,1343730.3499999973,2305516.0499999975,2086503.9600000011,5735750.359999996,388.48109663005414,44.13366110417532,29.91613073140113,77650.23733333338,9320.025333333333,4040.284666666666
1.3,0.40,0.666970802919708,3654,3370,92.22769567597153,1462,1341,91.72366621067032,2192,2029,92.56386861313868,26.591385533184187,29.21702718909145,1320450.5099999986,2330616.1699999967,2045357.089999998,5696423.769999993,389.85765967482814,42.24957183789415,34.80940294819585,77695.89333333336,8775.339,4714.331
1.3,0.45,0.817910447761194,3654,3374,92.33716475095785,1644,1518,92.33576642335767,2010,1856,92.33830845771145,26.877954216073796,28.794822647270124,1316968.4300000009,2287192.7499999995,2050474.3400000022,5654635.520000003,390.56379866243867,42.94037188851099,36.82535883647401,77742.74100000002,9078.999333333333,4947.555333333333
1.3,0.50,1.0,3654,3335,91.26984126984127,1827,1655,90.58565955117679,1827,1680,91.95402298850574,26.530362940584116,29.112965674603178,1295921.7499999988,2257820.550000001,2015309.680000003,5569051.980000002,393.2187623151194,43.52165494843286,40.96530276873926,77760.50833333339,9180.795000000002,5573.961
1.3,0.55,1.2226277372262773,3654,3341,91.43404488232075,2010,1822,90.64676616915423,1644,1519,92.39659367396594,26.719134284668915,29.33267248189599,1273993.0000000005,2281484.590000002,2038837.940000003,5594315.530000006,389.2545456860735,42.86990228852505,36.119577750181044,77491.78100000005,9041.01433333333,4941.8483333333315
1.3,0.60,1.4993160054719563,3654,3367,92.1455938697318,2192,2005,91.46897810218978,1462,1362,93.16005471956224,26.724723857024095,28.644731277533058,1276985.460000001,2242487.8000000007,2036358.4599999983,5555831.72,392.10226527552004,43.7081289609023,36.894041394238364,77655.02500000004,9140.389333333333,4993.434333333334
1.3,0.65,1.8591549295774648,3654,3326,91.02353585112206,2376,2150,90.48821548821549,1278,1176,92.01877934272301,27.274720387596847,30.171090844671212,1284483.2500000019,2335301.2499999953,2027526.5999999975,5647311.099999995,391.3818991619748,41.7350432960695,35.55842804924928,77810.02733333342,8743.983333333334,4906.117333333334
1.3,0.70,2.336986301369863,3654,3353,91.7624521072797,2559,2344,91.59828057835092,1095,1009,92.14611872146119,27.027024886234354,29.026655434423525,1274168.500000001,2234277.929999998,2049908.0700000003,5558354.499999999,392.10184120693106,44.90253414940814,33.63969321244163,77641.45666666672,9416.755333333334,4522.9839999999995
1.3,0.75,2.99781181619256,3654,3354,91.78981937602627,2740,2497,91.13138686131387,914,857,93.76367614879649,27.145640301695348,29.670360560093375,1277030.0899999999,2280556.1400000006,2035023.5399999972,5592609.769999998,392.8951209816048,44.40357213675563,34.06594773596066,77638.16466666672,9136.149000000003,4490.503333333332
